Week,Phase,Key Tasks,Channel,Budget ($),Goal/Expected Outcome
Week 1,Setup,Website ready + analytics + Mailchimp + TikTok & Instagram accounts,Organic,0,"Landing page live, tracking verified"
Week 2,Setup,"Brand visuals, sample videos/photos, first content drafts",Organic,50,10 base visuals created
Week 3,Awareness,Post 3 TikToks + 3 IG reels (transformation videos),Organic,0,First 500 views
Week 4,Awareness,Create POV content + reply to comments on TikTok,Organic,0,50 followers each platform
Week 5,Testing,Run Google Ads $5/day (high intent keywords),Paid,150,"100+ visitors, 1-2 sales"
Week 6,Conversion,Add $5-off popup + 3-email sequence (Mailchimp),Email,0,Email workflow live
Week 7,Conversion,Run TikTok Spark Ads ($5/day x 5 days),Paid,125,"CTR >1.5%, 3–5 paid orders"
Week 8,Influencers,Gift 5 posters to small creators (UGC seeding),Influencer,75,2–3 videos posted
Week 9,SEO & Blog,"Publish 2 blog posts (Etsy vs VoiceFrame, Gift Ideas)",Content,0,+200 organic visits
Week 10,Content System,Batch 10 short videos for TikTok + IG,Organic,0,Content bank ready
Week 11,Retargeting,Setup TikTok + Meta retargeting ads ($3/day),Paid,125,"Lower CAC, 8–10% conversion"
Week 12,Seasonal Push,Run mini holiday promo ($1 off) + collect testimonials,All,100,$1K+ MRR milestone
